[2019-02-17 18:12:23,919] INFO [controller-event-thread]: Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-02-17 18:12:24,135] INFO [Controller 0]: 0 successfully elected as the controller (kafka.controller.KafkaController)
[2019-02-17 18:12:24,139] INFO [Controller 0]: Broker 0 starting become controller state transition (kafka.controller.KafkaController)
[2019-02-17 18:12:24,177] INFO [Controller 0]: Controller 0 incremented epoch to 1 (kafka.controller.KafkaController)
[2019-02-17 18:12:24,215] DEBUG [Controller 0]: Registering IsrChangeNotificationListener (kafka.controller.KafkaController)
[2019-02-17 18:12:24,619] INFO [Controller 0]: Partitions being reassigned: Map() (kafka.controller.KafkaController)
[2019-02-17 18:12:24,623] INFO [Controller 0]: Partitions already reassigned: Set() (kafka.controller.KafkaController)
[2019-02-17 18:12:24,644] INFO [Controller 0]: Resuming reassignment of partitions: Map() (kafka.controller.KafkaController)
[2019-02-17 18:12:24,678] INFO [Controller 0]: Currently active brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-02-17 18:12:24,691] INFO [Controller 0]: Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-02-17 18:12:24,696] INFO [Controller 0]: Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2019-02-17 18:12:24,727] INFO [Controller 0]: List of topics to be deleted:  (kafka.controller.KafkaController)
[2019-02-17 18:12:24,730] INFO [Controller 0]: List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2019-02-17 18:12:24,978] INFO [Replica state machine on controller 0]: Started replica state machine with initial state -> Map() (kafka.controller.ReplicaStateMachine)
[2019-02-17 18:12:25,017] INFO [Partition state machine on Controller 0]: Started partition state machine with initial state -> Map() (kafka.controller.PartitionStateMachine)
[2019-02-17 18:12:25,030] INFO [Controller 0]: Broker 0 is ready to serve as the new controller with epoch 1 (kafka.controller.KafkaController)
[2019-02-17 18:12:25,071] INFO [Controller 0]: Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2019-02-17 18:12:25,074] INFO [Controller 0]: Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2019-02-17 18:12:25,108] INFO [Controller 0]: Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2019-02-17 18:12:25,111] INFO [Controller 0]: Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2019-02-17 18:12:25,131] INFO [Controller 0]: Starting preferred replica leader election for partitions  (kafka.controller.KafkaController)
[2019-02-17 18:12:25,172] INFO [Partition state machine on Controller 0]: Invoking state change to OnlinePartition for partitions  (kafka.controller.PartitionStateMachine)
[2019-02-17 18:12:25,258] INFO [Controller 0]: starting the controller scheduler (kafka.controller.KafkaController)
[2019-02-17 18:12:26,073] INFO [Controller 0]: Newly added brokers: 0, deleted brokers: , all live brokers: 0 (kafka.controller.KafkaController)
[2019-02-17 18:12:26,079] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2019-02-17 18:12:26,115] INFO [Controller-0-to-broker-0-send-thread]: Starting (kafka.controller.RequestSendThread)
[2019-02-17 18:12:26,122] INFO [Controller 0]: New broker startup callback for 0 (kafka.controller.KafkaController)
[2019-02-17 18:12:26,200] INFO [Controller-0-to-broker-0-send-thread]: Controller 0 connected to knoldus-Vostro-15-3568:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2019-02-17 18:12:30,269] TRACE [Controller 0]: Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2019-02-17 18:12:30,294] DEBUG [Controller 0]: Preferred replicas by broker Map() (kafka.controller.KafkaController)
